id,name,country,city,sphere,type,year_creation,number_employees,url
33,Ariolasoft,Германия,Германия,Индустрия компьютерных игр,2,1982,360,ariolasoft.com
34,Arkane Studios,США,Остин,Индустрия компьютерных игр,3,1999,3997,arkane-studios.com
35,Artificial Studios,США,Гейнсвилл,Индустрия компьютерных игр,2,2001,3732,artificialstudios.com/in…
36,Ascaron Entertainment,Германия,Гютерсло,Разработка программного обеспечения,4,1992,1930,ascaron.com​ (нем.)​ (англ.)
37,Atlus,Япония,Синагава,Индустрия компьютерных игр,3,1986,4133,atlus.com
38,Avalanche Software,США,Солт-Лейк-Сити,Индустрия компьютерных игр,3,1995,1976,avalanchesoftware.com
39,Avalanche Studios Group,Швеция,Стокгольм,Индустрия компьютерных игр,3,2003,1605,avalanchestudios.com
40,Bandai,Япония,Тайто,Индустрия компьютерных игр,5,1950,4942,Bandai JapanBandai UKBandai USBandai EuropeBandai Asia
41,Bandai Namco Entertainment,Япония,Токио,Индустрия компьютерных игр,5,2006,4989,bandainamcoent.combandainamcoent.co.jp​ (яп.)
42,Banpresto,Токио,Токио,Индустрия компьютерных игр,1,1977,603,banpresto.co.jp
43,Beenox,Канада,Квебек,Индустрия компьютерных игр,2,2000,1541,beenox.com/en/
44,Behaviour Interactive,Монреаль,Канада,Индустрия компьютерных игр,2,1992,3750,bhvr.com
45,Beijing Perfect World,США,Пекин,Индустрия компьютерных игр,2,2004,3224,perfectworld.com
46,Bend Studio,США,Вашингтон,Индустрия компьютерных игр,3,1993,1992,bendstudio.com
47,Bethesda Game Studios,США,Роквилл,Индустрия компьютерных игр,3,2001,232,bethesdagamestudios.com
48,Big Huge Games,США,Тимониум,Индустрия компьютерных игр,2,2000,4980,bighugegames.com​ (англ.)
49,Bigpoint Berlin,Германия,Берлин,Индустрия компьютерных игр,2,1995,1898,radonlabs.de
50,BioWare,Канада,Эдмонтон,Индустрия компьютерных игр,3,1956,4656,www.bioware.com
51,Bits Studios,Великобритания,Великобритания,Индустрия компьютерных игр,2,1990,4884,bits.com
52,Bizarre Creations,Великобритания,Ливерпуль,Индустрия компьютерных игр,2,1988,4088,bizarrecreations.com
53,Black Isle Studios,США,Лос-Анджелес,Индустрия компьютерных игр,2,1996,533,"blackisle.com, interplay.com[1]"
54,Black Rock Studio,Великобритания,Брайтон,Индустрия компьютерных игр,3,1999,512,www2.disney.co.uk/disney…
55,Blizzard Entertainment,США,Ирвайн,Индустрия компьютерных игр,3,1991,1276,Blizzard.com
56,Blue Fang Games,США,(Массачусетс),Индустрия компьютерных игр,4,1998,249,blue.com
57,Bohemia Interactive,Чехия,Прага,Индустрия компьютерных игр,2,1999,1171,bohemia.net
58,Brøderbund,США,Новато,Индустрия компьютерных игр,1,1980,2565,broderbund.com​ (англ.)
59,Bugbear Entertainment,Финляндия,Хельсинки,Индустрия компьютерных игр,3,2000,3800,bugbeargames.com
60,Bullfrog Productions,США,Вашингтон,Разработка программного обеспечения,3,1987,4746,bullfrog.com (в веб-архиве)
61,Bungie,США,Белвью,Индустрия компьютерных игр,3,1991,565,bungie.net/ru/
62,Campo Santo,США,Белвью,Индустрия компьютерных игр,3,2013,531,camposanto.com​ (англ.)
63,Capcom,Япония,Осака,Индустрия компьютерных игр,1,1979,3351,Официальный сайт
64,Capcom Vancouver,Канада,Бернаби,Индустрия компьютерных игр,3,2005,1830,capcomvancouver.com
65,Capybara Games,Канада,Торонто,Индустрия компьютерных игр,2,2003,483,capybaragames.com
66,Cave,Япония,Токио,Индустрия компьютерных игр,7,1994,1345,cave.co.jp
67,CCP Games,Исландия,Рейкьявик,Индустрия компьютерных игр,3,1997,2596,ccpgames.com
68,CD Projekt,Польша,Варшава,Индустрия компьютерных игр,1,1994,1755,www.cdprojekt.com
69,Codemasters,Великобритания,Саутгемптон,Индустрия компьютерных игр,2,1986,1139,codemasters.com
70,Coffee Stain,Швеция,Шёвде,Индустрия компьютерных игр,3,2010,339,coffeestainstudios.com
71,Core Design,Великобритания,Дерби,Индустрия компьютерных игр,2,1988,1749,www.core-design.com (архивная версия сайта 2008)
72,Creat Studios,Кантон,Кантон,Индустрия компьютерных игр,2,1990,375,creatstudios.ru
73,Creative Assembly,Болгария,София,Индустрия компьютерных игр,3,1987,793,Creative-Assembly.com
74,Criterion Games,Великобритания,Гилдфорд,Индустрия компьютерных игр,3,1996,2708,criteriongames.com
75,Croteam,Хорватия,Загреб,Индустрия компьютерных игр,3,2016,2752,www.croteam.com
76,Cryo Interactive,Франция,Париж,Индустрия компьютерных игр,1,1992,890,microids.com
77,Crystal Dynamics,США,Редвуд-Сити,Индустрия компьютерных игр,3,1992,3636,crystald.com
78,Crytek,Германия,Франкфурт,Индустрия компьютерных игр,2,1999,2195,www.crytek.com
79,Cyanide Studio,Канада,Монреаль,Индустрия компьютерных игр,3,2000,985,www.cyanide-studio.com
80,Cyberlore Studios,(США),Нортгемптон,Индустрия компьютерных игр,2,1992,3841,cyberlore.com
81,Cygames,Япония,Сибуя,Индустрия компьютерных игр,3,2011,287,Cygames
82,Dambuster Studios,Ноттингем,Ноттингем,Индустрия компьютерных игр,3,2014,4331,www.dsdambuster.com
83,Daybreak Game Company,США,Сан-Диего,Индустрия компьютерных игр,3,1995,3059,www.daybreakgames.com
84,Deck Nine,США,Уэстминстер,Индустрия компьютерных игр,2,1997,4119,deckninegames.com
85,Deep Silver Volition,США,Шампейн,Индустрия компьютерных игр,3,1996,994,www.dsvolition.com
86,Digital Extremes,США,Вашингтон,Индустрия компьютерных игр,2,1993,4468,digitalextremes.com
87,Dimps,Осака,Осака,Индустрия компьютерных игр,3,2000,3724,Официальный сайт
88,Disney Interactive Studios,США,Глендейл,Индустрия компьютерных игр,2,1988,4349,Disney Interactive
89,Don’t Nod,Париж,Париж,Индустрия компьютерных игр,1,1986,430,dont-nod.com
90,Double Fine Productions,США,Сан-Франциско,Индустрия компьютерных игр,3,2000,4169,doublefine.com​ (англ.)
91,Dynamix,США,Юджин,Индустрия компьютерных игр,1,1984,1453,www.dynamix.com (недоступна)
92,EA Black Box,Колумбия,Бернаби,Индустрия компьютерных игр,3,1998,3399,eablackbox.com/index.html
93,EA DICE,Швеция,Стокгольм,Индустрия компьютерных игр,3,1992,4615,dice.se​ (англ.)
94,EA Gothenburg,Швеция,Гётеборг,Индустрия компьютерных игр,3,2011,2864,ea.com
95,EA Phenomic,Германия,Ингельхайм-на-Рейне,Индустрия компьютерных игр,3,1975,2394,www.phenomic.de
96,Edge of Reality,США,Остин,Индустрия компьютерных игр,2,1998,4609,edgeofreality.com​ (англ.)
97,Electronic Arts,США,Редвуд-Сити,Индустрия компьютерных игр,1,1982,11000,ea.com​ (англ.)
98,Elemental Games,Россия.,Владивосток,Индустрия компьютерных игр,2,1999,2700,elemental.com
99,Ensemble Studios,Техас,Даллас,Индустрия компьютерных игр,2,1995,791,www.ensemblestudios.com
100,Epic Games,США,Кэри,Индустрия компьютерных игр,2,1991,1248,epicgames.com
101,Epyx,Сан-Франциско,Сан-Франциско,Индустрия компьютерных игр,1,1978,588,epyx.com
102,Étranges Libellules,Франция,Лион,Индустрия компьютерных игр,2,1994,4598,etranges-libellules.fr
103,Eugen Systems,Франция,Париж,Индустрия компьютерных игр,2,2000,3378,eugensystems.com
104,Eurocom,Великобритания,Дерби,Индустрия компьютерных игр,2,1988,2035,eurocom.co.uk
105,Evolution Studios,Ранкорн,Англия,Индустрия компьютерных игр,3,1999,955,evos.net
106,Facepunch Studios,Великобритания,Уолсолл,Индустрия компьютерных игр,4,2004,3949,facepunch.com
107,Fatshark,Швеция,Стокгольм,Индустрия компьютерных игр,2,2008,2159,www.fatshark.se
108,Firaxis Games,США,Спаркс,Индустрия компьютерных игр,3,1996,3844,www.firaxis.com
109,Firefly Studios,(1999),Лондон,Индустрия компьютерных игр,2,1999,1242,fireflyworlds.com
110,Flagship Studios,США,Сан-Франциско,Индустрия компьютерных игр,2,2003,2833,flagshipstudios.com​ (англ.)
111,Flying Wild Hog,Польша,Варшава,Индустрия компьютерных игр,3,2009,3798,flyingwildhog.com
112,Free Radical Design,Великобритания,Ноттингем,Индустрия компьютерных игр,3,1999,2525,free.com
113,Freebird Games,Канада,Канада,Индустрия компьютерных игр,2,2007,1657,freebirdgames.com
114,Freeverse Software,США,Нью-Йорк,Индустрия компьютерных игр,3,1994,1968,freeverse.com
115,Frictional Games,Швеция,Хельсингборг,Индустрия компьютерных игр,2,1958,1135,frictionalgames.com
116,Frogwares,Украина,Киев,Индустрия компьютерных игр,2,2000,1284,Frogwares.com
117,FromSoftware,Япония,Токио,Индустрия компьютерных игр,5,1986,2376,Официальный сайт на английском языке
118,Frozenbyte,Финляндия,Хельсинки,Индустрия компьютерных игр,2,2001,3914,frozenbyte.com
119,Fun Labs,Румыния,Румыния,Индустрия компьютерных игр,2,1999,2989,www.funlabs.com
120,Funcom,Норвегия,Норвегия,Разработка программного обеспечения,1,1993,4885,funcom.com
121,Futuremark,Финляндия,Эспоо,Разработка программного обеспечения,3,1997,1912,Официальный сайт
122,Gaijin Entertainment,Венгрия,Будапешт,Индустрия компьютерных игр,2,2002,4288,gaijinent.com
123,Game Arts,Япония,Токио,Индустрия компьютерных игр,1,1985,1875,Официальный сайт
124,Game Freak,Сэтагая,Япония,Индустрия компьютерных игр,5,1974,2067,gamefreak.co.jp
125,Gameloft,Франция,Париж,Индустрия компьютерных игр,3,1999,2331,gameloft.com
126,Gearbox Software,Канада,Квебек,Индустрия компьютерных игр,2,1999,4500,gearboxsoftware.com
127,Glu Mobile,Великобритания,Великобритания,Индустрия компьютерных игр,1,2005,1535,glu.com​ (англ.)
128,Grasshopper Manufacture,Япония,Сугинами,Индустрия компьютерных игр,7,2005,4450,Grasshopper Manufacture
129,Gremlin Interactive,Великобритания,Шеффилд,Индустрия компьютерных игр,2,1984,2382,gremlin.com
130,Grinding Gear Games,Зеландия,Окленд,Индустрия компьютерных игр,2,2006,4138,grindinggear.com
131,Griptonite Games,Вашингтон,Вашингтон,Индустрия компьютерных игр,2,1994,4991,amazeent.com
132,GSC Game World,Киев,Украина,Разработка программного обеспечения,2,1963,4670,gsc-game.com
133,Guerrilla Cambridge,Великобритания,Кембридж,Индустрия компьютерных игр,2,1997,2397,web.archive.org/web/2010…
134,Guerrilla Games,Нидерланды,Амстердам,Индустрия компьютерных игр,3,2000,1852,guerrilla-games.com
135,Haemimont Games,София,Болгария,Индустрия компьютерных игр,2,1997,4565,haemimontgames.com
136,HAL Laboratory,Япония,Тиёда,Индустрия компьютерных игр,5,1963,2538,Официальный сайт
137,Halfbrick Studios,Австралия,Брисбен,Индустрия компьютерных игр,2,2003,1510,halfbrick.com
138,Hangar 13,Великобритания,Брайтон,Индустрия компьютерных игр,3,1978,1414,hangar13games.com
139,Harmonix Music Systems,США:,США:,Разработка программного обеспечения,4,1995,4777,www.harmonixmusic.com
140,High Moon Studios,Калифорния,США,Индустрия компьютерных игр,4,1981,2561,highmoonstudios.com
141,High Voltage Software,США,Хоффман-Эстэйтс,Индустрия компьютерных игр,2,1993,3112,high-voltage.com
142,Hudson Soft,США,Вашингтон,Индустрия компьютерных игр,1,1973,3458,hudsonsoft.net
143,Human Head Studios,США,Мэдисон,Индустрия компьютерных игр,2,1997,760,www.humanhead.com
144,id Software,США,Ричардсон,Индустрия компьютерных игр,3,1991,3343,www.idsoftware.com
145,Idea Factory,Япония,Эбису,Индустрия компьютерных игр,2,1984,2782,ideaf.co.jp
146,Imagineering,США,Глен-Рок,Индустрия компьютерных игр,2,1986,1254,imagineering.com
147,IndiePub,США,Цинциннати,Индустрия компьютерных игр,1,2007,3083,indiepubentertainment.com​ (англ.)
148,Indies zero,7F,Япония,Индустрия компьютерных игр,2,1997,1346,indieszero.co.jp
149,Infinity Ward,Польша,Краков[2],Индустрия компьютерных игр,3,2002,2628,infinityward.com
150,Infocom,Массачусетс,Кембридж,Индустрия компьютерных игр,2,1979,2471,infocom.com
151,Insomniac Games,США,Бербанк,Индустрия компьютерных игр,3,2014,4672,insomniacgames.com
152,Intelligent Systems,Япония,Киото,Индустрия компьютерных игр,3,1961,3661,www.intsys.co.jp/english/index.html
153,Interplay Entertainment,Калифорния,Беверли-Хиллз,Индустрия компьютерных игр,1,1983,2435,interplay.com
154,Introversion Software,Англия,Англия,Индустрия компьютерных игр,2,2001,2459,www.introversion.co.uk
155,inXile Entertainment,США,Ньюпорт-Бич,Разработка программного обеспечения,2,2002,1503,inxile-entertainment.com
156,IO Interactive,США,Вашингтон,Индустрия компьютерных игр,2,1998,2080,www.ioi.dk
157,Ion Storm,(США),Даллас,Индустрия компьютерных игр,2,1996,3915,"www.ionstorm.com (домен более не используется ни Ion Storm, ни Eidos Interactive)"
158,Irem,Япония,Тиёда[1],Индустрия компьютерных игр,1,1974,3015,irem.co.jp
159,Irrational Games,США,Бостон,Разработка программного обеспечения,3,1997,4824,Официальный сайт
160,Ivory Tower,Франция,Лион,Индустрия компьютерных игр,3,2013,941,ivory-tower.fr
161,JoWooD Entertainment,Австрия,Вена,Индустрия компьютерных игр,1,1995,1164,jowood.com
162,Jupiter,Япония,Фусими,Индустрия компьютерных игр,1,1994,4844,www.jupiter.co.jp
163,JV Games,США,Невада,Индустрия компьютерных игр,2,1994,4070,jvgames.com
164,Kalypso Media,Германия,Вормс,Индустрия компьютерных игр,2,2006,4903,kalypsomedia.com
165,Kaos Studios,Нью-Йорк,Нью-Йорк,Индустрия компьютерных игр,2,2006,1337,kaosstudios.com​ (англ.)
166,Klei Entertainment,Канада,Британская,Индустрия компьютерных игр,3,2005,975,klei.com
167,Koei,Япония,Йокохама,Индустрия компьютерных игр,3,1978,2945,Официальный сайт
168,Kojima Productions,Япония,Токио,Индустрия компьютерных игр,2,1971,430,kojimaproductions.jp
169,Konami,Япония,Минато,Индустрия компьютерных игр,1,1997,3028,Konami.com
170,Krafton,Корея,Сеул,Индустрия компьютерных игр,2,2007,3658,Официальный сайт Bluehole Studio
171,Kuju Entertainment,Великобритания,Лондон,Индустрия компьютерных игр,3,1998,3183,Kuju Entertainment
172,Kush Games,США,Камарильо,Индустрия компьютерных игр,2,2007,4520,kush.com
173,Kylotonn,Франция,Париж,Индустрия компьютерных игр,4,2002,4638,www.kylotonngames.com
174,Lankhor,Франция,Версаль,Индустрия компьютерных игр,2,1987,4901,lankhor.com
175,Larian Studios,Испания,Барселона,Индустрия компьютерных игр,2,1996,888,larian.com
176,Legend Entertainment,США,Чантилли[d],Индустрия компьютерных игр,2,1989,4655,legend.com
177,Lesta Studio,Россия,Санкт-Петербург,Индустрия компьютерных игр,2,1991,3806,lesta.ru
178,Level-5,Япония,Фукуока,Индустрия компьютерных игр,2,1998,4235,www.level5.co.jp
179,LIFT London,Великобритания,Лондон,Индустрия компьютерных игр,3,2012,369,lift.london
180,Limited Run Games,США,Роли,Индустрия компьютерных игр,2,2015,4151,limitedrungames.com
181,Lionhead Studios,Великобритания,Гилфорд,Индустрия компьютерных игр,2,1997,4605,lionhead.com
182,Little Green Men Games,Хорватия,Загреб,Индустрия компьютерных игр,2,2006,2522,Inter-corona.com
183,Looking Glass Studios,США,Кембридж,Индустрия компьютерных игр,2,1990,3147,looking.com
184,Lucasfilm Games,США,Сан-Франциско,Индустрия компьютерных игр,3,1982,1736,lucasfilm.com/games
185,Luxoflux,США,Санта-Моника,Индустрия компьютерных игр,3,1997,1206,luxoflux.com
186,MachineGames,Швеция,Упсала,Индустрия компьютерных игр,3,2009,2908,machinegames.com
187,Madfinger Games,Чехия,Брно,Индустрия компьютерных игр,2,2008,1426,madfingergames.com
188,Massive Development,Германия,Мангейм,Индустрия компьютерных игр,2,1994,3080,Massive.de (archived)
189,Massive Entertainment,Швеция,Мальмё,Индустрия компьютерных игр,3,1997,664,massive.se
190,Maxis,США,Редвуд-Сити,Индустрия компьютерных игр,3,1987,441,ea.com/ea-studios/maxis
191,Media Molecule,Гилфорд,Англия,Индустрия компьютерных игр,3,2006,3550,www.mediamolecule.com
192,Media.Vision,Япония,Токио,Индустрия компьютерных игр,1,1964,4062,media-vision.co.jp
193,MercurySteam,Испания,Сан-Себастиан-де-лос-Рейес,Индустрия компьютерных игр,2,1997,3274,www.mercurysteam.com
194,Metropolis Software,Польша,Варшава,Индустрия компьютерных игр,2,1992,4333,www.metropolis-software.com
195,MicroProse,США,(рус.,Разработка программного обеспечения,2,1982,1360,последняя сохраненная версия
196,Midway Games,США,Чикаго,Индустрия компьютерных игр,1,1958,2739,www.midwaygames.com (архивн.)
197,Milestone S.r.l.,Италия,Милан,Индустрия компьютерных игр,3,2005,3042,milestone.it
198,Mistwalker,США,Гонолулу,Индустрия компьютерных игр,2,2004,3139,mistwalkercorp.com
199,Mojang Studios,Стокгольм,Швеция,Индустрия компьютерных игр,3,2009,373,mojang.com
200,Monolith Productions,США,Керкленд,Индустрия компьютерных игр,3,1994,3063,Официальный сайт
201,Monolith Soft,Япония,Токио,Индустрия компьютерных игр,3,1958,1980,Официальный сайт
202,Mythic Entertainment,США,Фэрфакс,Индустрия компьютерных игр,3,1995,2847,mythicentertainment.com
203,N-Space,Флорида,Орландо,Индустрия компьютерных игр,4,1994,164,web.archive.org/web/2014…
204,Nadeo,Франция,Исси-ле-Мулино,Индустрия компьютерных игр,3,2000,4646,nadeo.com
205,NaturalMotion,Сеул,Сеул,Разработка программного обеспечения,2,2001,1035,naturalmotion.com
206,Naughty Dog,США,Санта-Моника,Индустрия компьютерных игр,3,1996,4244,naughtydog.com
207,NCSoft,Корея,Корея,Индустрия компьютерных игр,1,1997,3822,kr.ncsoft.com
208,Nerve Software,Ричардсон,Ричардсон,Индустрия компьютерных игр,2,1999,792,nervesoftware.com​ (англ.)
209,NetEase,Китай,Ханчжоу,Разработка программного обеспечения,1,1997,3560,www.netease.com
210,NetherRealm Studios,США,Чикаго,Индустрия компьютерных игр,3,2010,2169,netherrealm.com​ (англ.)
211,New World Interactive,Канада,Калгари,Индустрия компьютерных игр,3,2010,420,newworldinteractive.com
212,Nexters,Кипр,Ларнака[1],Индустрия компьютерных игр,1,2010,4441,nexters.com
213,Niantic,США,Сан-Франциско,Разработка программного обеспечения,1,2010,2834,nianticlabs.com
214,Ninja Theory,Великобритания,Кембридж,Индустрия компьютерных игр,3,2000,3633,ninjatheory.com
215,Nintendo,Киото,Япония,Индустрия компьютерных игр,1,1989,812,www.nintendo.com
216,Microsoft,США,Редмонд,Разработка программного обеспечения,1,2003,181000,microsoft.com​ (англ.)
217,Nippon Ichi Software,США,Гифу,Индустрия компьютерных игр,2,1993,1404,http://www.nisamerica.com/
218,Nival,Кипр,Лимасол,Индустрия компьютерных игр,2,1996,1144,nival.com
219,Novashell,США,Вашингтон,Индустрия компьютерных игр,2,1996,3572,rtsoft.com/novashell/
220,Obsidian Entertainment,США,Ирвайн,Индустрия компьютерных игр,3,2003,4315,www.obsidian.net
221,Origin Systems,США,Остин,Индустрия компьютерных игр,2,1983,1584,origin.ea.com/english/in…
222,Overkill Software,США,Вашингтон,Индустрия компьютерных игр,3,2009,769,www.overkillsoftware.com
223,Owlcat Games,Кипр,Никосия,Индустрия компьютерных игр,2,2016,3234,owlcatgames.com
224,Pack-In-Video,Сибуя,Япония,Индустрия компьютерных игр,2,2007,619,pack-in-video.com
225,Palace Software,Великобритания,Лондон,Разработка программного обеспечения,2,1983,2806,palace.com
226,Pandemic Studios,США,Санта-Моника,Разработка программного обеспечения,3,1998,436,"pandemicstudios.com (архивная версия, апрель 2009)"
227,Panic,США,Портленд,Индустрия компьютерных игр,2,1998,442,panic.com
228,Paradox Development Studio,Стокгольм,Швеция,Индустрия компьютерных игр,3,1995,3455,Веб-сайт
229,Péndulo Studios,Испания,Мадрид,Индустрия компьютерных игр,2,1994,3238,www.pendulostudios.com
230,People Can Fly,Польша,Варшава,Индустрия компьютерных игр,2,2002,4686,www.peoplecanfly.com
231,Petroglyph Games,Невада,Лас-Вегас,Разработка программного обеспечения,2,2003,1147,www.petroglyphgames.com
232,Piranha Bytes,Германия,Эссен,Индустрия компьютерных игр,4,1997,4975,www.piranha-bytes.com
233,Pixonic,Россия,Москва,Разработка программного обеспечения,3,2009,4025,pixonic.com
234,Plarium,Израиль.,(Харьков,Индустрия компьютерных игр,2,2009,1050,company.plarium.com
235,Platinum Games,Япония,Осака,Индустрия компьютерных игр,2,2006,1248,platinumgames.com
236,Playdead,Копенгаген,Дания,Индустрия компьютерных игр,2,2006,862,playdead.com
237,PlayFirst,США,Сан-Франциско,Индустрия компьютерных игр,2,2004,4560,www.PlayFirst.com
238,Playground Games,Великобритания,Ройал-Лемингтон-Спа,Индустрия компьютерных игр,3,2010,4339,playground-games.com
239,PlayStation Studios,США,Сан-Матео,Индустрия компьютерных игр,3,2005,3359,Официальный сайт
240,"Point of View, Inc.",США,Ирвайн,Индустрия компьютерных игр,2,1996,1265,pointofview.com
241,Polyphony Digital,Япония,Токио,Индустрия компьютерных игр,3,1998,4938,polyphony.co.jp
242,PopCap Games,Сиэтл,Сиэтл,Индустрия компьютерных игр,2,2000,4772,PopCap.com
243,PopTop Software,США,Сент-Луис,Индустрия компьютерных игр,2,1993,1779,poptop.com
244,Propaganda Games,Колумбия,Ванкувер,Индустрия компьютерных игр,2,2005,285,propagandagames.com
245,Prope,Токио,Минато,Индустрия компьютерных игр,2,2018,3030,Официальный сайт
246,Psygnosis Limited,Великобритания,Ливерпуль,Индустрия компьютерных игр,2,1984,669,worldwidestudios.net/…​ (англ.)
247,Psyonix,Сан-Диего,США,Индустрия компьютерных игр,3,1983,3724,psyonix.com​ (англ.)
248,Q Entertainment,Япония,Токио,Разработка программного обеспечения,2,2003,1646,www.qentertainment.com
249,Quantic Dream,Франция,Париж,Индустрия компьютерных игр,2,1997,529,quanticdream.com
250,Quicksilva,Саутгемптон,Саутгемптон,Индустрия компьютерных игр,2,1979,4855,quicksilva.com
251,Radical Entertainment,Канада,Ванкувер,Индустрия компьютерных игр,3,1991,3110,www.radical.ca
252,Rainbow Studios,США,Финикс,Индустрия компьютерных игр,2,1995,2879,rainbowstudios.com
253,Raven Software,США,Мэдисон,Индустрия компьютерных игр,3,1990,3552,https://www.ravensoftware.com
254,Ready at Dawn,"(Калифорния),США",(Калифорния),Индустрия компьютерных игр,2,2003,4226,readyatdawn.com
255,Reality Pump Studios,Бельско-Бяла,Польша,Индустрия компьютерных игр,2,1995,1716,www.realitypump.com
256,Rebellion (разработчик),Великобритания,Оксфорд,Индустрия компьютерных игр,2,1992,1731,rebellion.com
257,Red Candle Games,Тайвань,Тайбэй,Индустрия компьютерных игр,2,2015,1020,redcandlegames.com/index…
258,Red Storm Entertainment,США,Кэри,Индустрия компьютерных игр,2,1996,2646,redstorm.com
259,Reflexive Entertainment,Калифорния,Лейк-Форест,Индустрия компьютерных игр,2,1997,4495,reflexive-inc.com
260,Relic Entertainment,Канада,Ванкувер,Индустрия компьютерных игр,2,1997,3159,relic.com
261,Remedy Entertainment,Финляндия,Эспоо,Индустрия компьютерных игр,1,1995,1351,remedygames.com
262,Respawn Entertainment,Канада,Ванкувер,Индустрия компьютерных игр,3,2010,3898,respawn.com
263,Reto-Moto,Дания,Копенгаген,Индустрия компьютерных игр,2,2011,1676,www.reto.dk
264,Riot Games,США,Лос-Анджелес,Разработка программного обеспечения,3,2006,1161,riotgames.com
265,Ripple Effect Studios,США,Лос-Анджелес,Индустрия компьютерных игр,3,1995,2906,ea.com/ea-studios…​ (англ.)
266,Robot Entertainment,Техас,Плейно,Индустрия компьютерных игр,2,2009,4130,robotentertainment.com
267,Rockstar Games,США,Нью-Йорк,Индустрия компьютерных игр,3,1977,3844,rockstargames.com/ru
268,Rockstar Leeds,Великобритания,Лидс,Индустрия компьютерных игр,3,1997,133,rockstarleeds.co.uk
269,Rockstar Lincoln,Великобритания,Линкольн,Индустрия компьютерных игр,3,1992,426,rockstar.com
270,Rockstar London,Великобритания,Челси,Индустрия компьютерных игр,3,2005,4749,www.rockstarlondon.com
271,Rockstar New England,США,Андовер,Индустрия компьютерных игр,3,1998,3032,rockstarnewengland.com
272,Rockstar North,Эдинбург,Великобритания,Индустрия компьютерных игр,3,1987,3992,rockstarnorth.com
273,Rockstar San Diego,США,Карлсбад,Индустрия компьютерных игр,3,1984,2413,Официальный сайт
274,Rockstar Toronto,Канада,Оквилл,Индустрия компьютерных игр,3,1981,1671,www.rockstartoronto.com
275,Rockstar Vancouver,Канада,Ванкувер,Индустрия компьютерных игр,3,1998,3458,rockstarvancouver.com
276,Rocksteady Studios,Великобритания,Лондон,Индустрия компьютерных игр,3,2004,1465,rocksteadyltd.com
277,Rogue Entertainment,США,Плейно,Индустрия компьютерных игр,2,1994,4470,rogue-ent.com
